comment_text,hdb_labels
"25:28
Trump: Did you hear anything?
Biden: No what was that sound.",-1.0
"53:39 trump the idiot.
Your the big man! I dont know if you are.. BUT YOUR THE BIG MAN.. which is it trump.. Grammer helps..",-1.0
Trump is the President of the USA !  no biden...,-1.0
Driving home from school today because that Wednesday I’m going to schools for the day so I’m not going out of the house to get wills house,-1.0
"Trump won election the swamp rats in Washington did everything they could to cheat in order to have Biden win. Congrats you now have the power and this country and all we can do is sit around and watch you waste our money change the constitution do whatever they want and clearly I don't see our country strong and proud. This election was a disgrace 75 million people voted for president Trump and the few swing states should be ashamed of themselves for being pushed around to be bullied into being dishonest. No one on Trump side believes for one second that sleepy Joe won.  He is not my president.  I am sad, angry frustrated and upset so pelosi and shumner shame on you.  You have not done 1 thing for the American people. You are the reason we all want term limits because you don't deserve to be in government.   Do us all a favor. Retire",-1.0
Biden looks too old,324.0
how many memes?,-1.0
"I feel like disliking comments cause ain't nobody disliking sht
Not personal just cause its empty 
Its ungodly to leave open space",-1.0
Men and Women are entertained by this debate. What about 3rd genders?,-1.0
I like,-1.0
"The lackadaisical dash histologically boast because select theoretically clean to a hoc health. sedate, late room",-1.0
Cmon man.,190.0
Is he still under audit?,-1.0
"“The show will start very soon”
She had no idea what kind of show she was talking about.",-1.0
Chad Trump vs Demented Biden,-1.0
TRAMP JE DRUGI KENEDI POBEDICE ISTINA,-1.0
Biden by a landslide. He stomped Trump!,-1.0
Trump is right about the corona virus we cannot shut down everything I've been tested positive for corona virus and it went away next time I tested so it does indeed go away,-1.0
"To be honest, I am amazed they allowed comments on this video",-1.0
Trump is a fucking liar,223.0
Trump just stfu,-1.0
"6:28 ""we want them to engage each other""
MORTAL KOMBAT!",-1.0
525 kids not knowing where they’re gonna be and lost their parents.  Trump says next. The one thing he won’t respond too.,-1.0
Your Maga hats are made in china. His trump bear is made in china. Trumps ties are made in china. His shirts are made in Bangladeshi. So Donald doesn’t make money from China bull 💩 .  Donald talking America first is bull 💩,-1.0
"A president who looks like a burst orange and wants to replace the light bulbs because they disturb his complexion is already Stalinist. Trump is a communist, no, he is not. He is a little Hitler.",-1.0
A democracy that legitimises the death penalty is uncivilised. It is not a democracy. It is a dictatorship. Trump is the leader of the anti-Democrats.,-1.0
The United States of America is a kleptocracy and a plutocracy. There are antichrists like Steve Bennon and Donald Trump and the evangelicals. See Rosemary's Baby.,-1.0
You shouldn't elect a German president.,-1.0
the sleepy Donald.,-1.0
Donald Trump doesn't have a good nursery. His ancestors were dubious Germans.,-1.0
Donald Trump's grandfather was a pimp.,-1.0
"i mean the chinease virus, but the problem is, Americans can't german. A propos, Trump's grandfather was German and died of the American virus after perhaps four weeks. He also ran brothels.",-1.0
I love that virtue signalling smile Joe Biden and Harris crack when they are being exposed,-1.0
i miss obama best president since abraham Lincoln,-1.0
"Trump is not even close to perfect but still miles better than senile, corrupt Joe. Biden is a fraud and a pathological liar.",-1.0
"Joe biden: Well-
Trump: Im gonna stop you right there",-1.0
Lol trumps hand gestures,-1.0
"Thanks God 
Donald T. is no longer president of America. He is the worst leader of the World. All the problem you see now is because of his arrogant. He is big liar, doesn’t know what he is talking about, doesn’t respect other cultures, very racist person.",-1.0
trump was trying to save u fuck heads,-1.0
youll show,-1.0
ug,-1.0
I'm so excited to see biden president next week!!!!!,-1.0
Trump says the things you’re not supposed to say out loud in politics. God Bless this True American Patriot. 🇺🇸,-1.0
Donald's votes overall a rewin,-1.0
"DUDE THIS IS BETTER




https://youtu.be/T_X2Xz_RmHY",-1.0
DIFFRENCE BETWEEN A GOOD PRESIDENT AND A LAUGHING STOCK DEMENTIA,-1.0
"Can’t you see it? 
Don’t look at the cover 
But joe looks scary 
I don’t even like trump but this is weird!!",-1.0
"Im laughing at Biden's reactions when trump talks, especially that part where trump starts talking about biden being in a basement",-1.0
Trump failed in speech as well as debate classes.. I guess someone took his SAT scores for him like many elite rich celebrity kids,-1.0
**221-01-14  1237  i HOPE BIDEN & PRES TRUMP READS THIS: iF BIDEN & PRES TRUMP WERE TO,
"DROP THEIR PRIDE AND WORK OOUT THEIR DIFERENCES, I AM VERY SURE THE TWO OF THEM COULD PUT TOGETHER A PACKAGE TO DECREASE TAXES, GET THIS COUNTRY OUT OF DEBT AND SUPPLY $2,000 STIMULUS TO ALL THOSE WHO MAKE LESS THAT $45,000 PER YEAR.**",-1.0
"Biden wasnt arguing ... Trump. Kept arguing, interfering, blaming the moderator , etc.. ok",-1.0
Alxxabs isnrcsur sidc hdgz ueur hehe uslf tsue,-1.0
Kc if ixmn.   😋😙🤗😚🤓,-1.0
Where’s the flag?,-1.0
Im not american but…………but the recent Day whats happening si exciting !!! ( And f… Donald trump of course ! ),-1.0
i couldn’t care less about who won but the bias against trump is annoying. Cuts trump off almost everytime he speaks and barely cuts biden off and this is coming from a left libertarian,-1.0
"In 1941 Shoghi Effendi (The Guardian of the Baha’i’ Faith) castigated the prevalent trends of society in no uncertain terms: 
“Although Europe was the cradle of a ""godless"", a ""highly-vaunted yet lamentably defective civilization"",	
the foremost protagonist of that civilization was now the United States and that, in that country, at the present time, its manifestations had led to a degree of unbridled materialism which now presented a danger to the entire world.”",-1.0
why is no one talking about the fact that trump isn't answering any questions or responding to what joe or the lady said lol,-1.0
Trump is really not good in debate,-1.0
"Please lit green light to face and i give you money (bribe), my little asshole lightman. Lightman doe's not diserve minimum wage. That sick artist do green lit people in purpuse to do harm.",-1.0
I was looking for a job and stuck here with popcorn🍿,-1.0
I don't trust whatever BIDEN says. He seems very skeptical,-1.0
jOe BIDeN lIVeS iN hIs BaSeMeNt 33:42 - 35:35,-1.0
1:28:31,216.0
He used a pandemic to get elected,-1.0
"biden was getting interrupted by trump so much, and biden has a speech problem, but speaks way better LMAO",-1.0
e wiwa Trump...,-1.0
"If you listen carefully, there is a lot of reframing here by Donald.  He seems to deflect the questions to him back at Joe.",-1.0
