comment_text	hdb_labels
Our New President Joe Biden will be there for our country and Kamala Harris is Second in comand she will be wob	-1
like a couple of kids. arguing like they're in kindergarten.	-1
"""there are no accidents"" - Master Oogway Watches this debate  ""This was an accident"""	-1
Skip to 24:25 before there's nothing interesting	-1
I love not being a merican citizen Ps: visit Europe it's beautiful and all your culture evolved here I'm sure it's interesting for every American and visit multiple countries for the full experience	-1
"""We're gonna win the House. You'll see."" That certainly didn't age well..."	-1
😂😂😂😂😂 I love how Trump ALWAYS moves his hands when he talks 😂😂😂😂	175
Usually I don't watch debates but this one was very entertaining 😁😁 lol	-1
1:02:52 Summary of the whole debate	-1
Trump was not a war lord or conflict. Because of this he was attacked by Intellectual America. Emmys, Oscar etc	-1
Biden is so arrogant. Trump talks hard.	-1
GOD I MISS  TRUMP	-1
Do you want to supersize your meal Mr. Trump? We have to reopen schools!  Smh!  Peace or maybe not!	-1
The pathetic learning infrequently nest because kite renomegaly screw opposite a cloistered polyester. disagreeable, momentous cold	-1
1:39:21	205
Donald Trump will steal every dollar and buy everything for himself. what a cheat and scam artist and complete danger to United States.	-1
This didn’t age well, amrite blue’s????	-1
1:39:20 Joe Biden’s beautiful smile 😃	-1
The “debate commission should be dissolved...... cause the debates were a trainwreck. Mute the mics!! Didnt do their job. Defund the commission	-1
Trump is pro-peace, Biden is pro-war!!!! Atention!!!....	-1
Joe biden for president? Good bye America.	-1
The media panics...	-1
Indian girl	-1
India girl	-1
He says Covid is far more lethal than H1N1 then says 99% of people infected recovers 🤔	-1
Why is trump making stuff up...	-1
"March 17, 2021 Speech ""I Can"" by Nathaniel Morris   Oppress by pandemic as a legal war of depression someone is the remedy being their sacrificed soul. Granting us the peace we repetitiously   fight for with every breath. We must look into our hemisphere from the kingdom of space as a successful journey to the moon.  Viewing the trace of our paws leaving behind the suffering gospel of failure a coalition with the spectacular urge of inducing affliction,  to the barkers saying that red white and blue is competent. We must overwhelm God's wrath with exaggeration on the body of the leader of deficiency  making power not downplaying the secrets of the weakness of our sacrifice.   We will not allow the loitering of the family of the boastful but willingly and comfortably declare with pain the nation we are the greatest country in the world. We will represent the globe as America making it a righteous world.  We will straighten out the north and south pole with the provision of birth of God Jesus Christ. The favor of the adversary as God of this world is not what we seek.  But I am working through the plainness of speech with my IQ a profit of happiness that which our pastors require. That will move the sorrow over the head that swear by themselves that the shedding of peace is the answer giving the enemy of man material. My words are the root so let us grow a harvest as the strong  with the answer of our conspiracy of terror.   Let the outcome be the launch of the result of consistent surveillance through the years giving the weary follower  of self produced answers that claim they can answer our desires. Biblically a promise that sacrifice will be provided and we will not negatively blot out  our blueprint and the day this bill is passed our solemn integrity self sustain not building on someone stone and heart to feel satisfied with our future.  Shout to the world that the one with the desire to pleased the endangered with words never but with the scourging of the innocent compared to our angry obligations.   I am the messenger that is comfortable with holy imperfection and that God gave us the answer in the old testament and new testament ,sacrifice. Do understand me?  World wide footage of a warrior being humbled to our picture from what we have in a relationship as citizens of The United States of America. Shut up and drive to this day by elected me as President. Quieting the annoyance of the instigating of loss of communication vice of the nations of the world bashing the embodiment of selfishness he that is hopeful of their self sustainment pleasing themselves by giving advice as a good Samaritan."	-1
Look at China how filthy it is😂😂😂	-1
It’s time for me to lead YAH’cob to Israel the trembling cup of the world with the Power of the ALMIGHTY MOST HIGH a NATION WILL BE BORN in a DAY! Time to fore fill PROPHECY!	-1
Whoever is President I hope they free the real Jews the HEBREW ISRAELITES my people!	-1
Trump is truly a phenomenal President! And is by far the best man to run the country I s truly sad to see him leave and I wish he wasn’t cheated because he’s a real President not some puppet that the rich controls his family sacrificed everything to truly help win this Country back also his growth mentality physically is a miracle ALL PRAISES to the MOST HIGH ALMIGHTY YAH’WEH please keep him in office our true President GOD KING DONALD TRUMP UnbornChildServantOfMankind	-1
China is a awesome country	-1
President Donald Trump is awesome	232
49:44 Bodylanguage from Biden?	-1
The moderator is a C.I.A assest.	-1
Joe Biden was elected. China hacked the election. I have the proof and the documents.	-1
The ridiculous smirk and constipated face of sleepy Joe make him more of a meme than his SNL parody... bravo Joe 👏🏽	-1
look here this you guys he says quote in quote i dint care if your against me. Shit that when you know you lost the battle. only big dawgs know what im talking about.	-1
Trumps a perfect baby	-1
Biden had the battle of the stupid.	-1
Bidens like you done now. is it my turn.	-1
Fucken Biden got a good plan man. ♥️ you bro	-1
"Trump "" If he's elected(Biden), the stock market will crash"" .... 2 months into Biden's administration, the stock market is SOARING at record HIGHS :)"	-1
“Who built the cages joe, who built the cages” -  Joe built the cages	-1
Mrs. Brown looks stunning in that black attire. she's stunning. so beautiful. love those solid gold earrings on her, matches her pale and fair complexion. With love and kisses, Miss Derrick.	-1
Let’s start a war  Biden  Trump	-1
I am looking this to improve my English skills	-1
Essentially....this is Biden lying for 2 hours.	-1
this debate is alot calmer than the first debate	-1
1:13:44	205
You have to read between the lines to better understand Trump.	-1
2016 debate: whew. Thankfully that belligerent shit-show is over 2020 debate: hold my hand sanitizer	-1
why dose biden always look down i that you cant have notes	-1
This is a message for all. The don j trum p anmin has trade rs embed ded in g ov off ices In the phon e c ompany Thi s is one of the numb ers 501 399 4848 and they have takn over fcc ftv credit beauro and i suspect others the phone co is comit ing felonies by helping in this frand.	-1
cake man	-1
11:09 you can't do it in the ether.isnt that what you smoking on sleepy joe? 😆	-1
This is so funny to me but is very important for americans	-1
Off to Canada o I go	-1
D GREETINGS!  TO YALL.  The Doctors Said Herpes Virus do not have a medical cure because the virus is capable of hiding within the human cells, it remains protected from your immune system.  Herpes is not a special virus;  your immune system has the power to fight it back but because it is able to lay dormant in protected cells, your immune system is unable to remove it from your body.  But with strong reactive herbal medication is capable of getting rid of the virus gradually and totally from your body within just 14days without damaging any of your cells.  Natural herbs kills the bad cells carrying the herpes virus totally!  within just 14 days.  I am not a medical doctor but i get cured from a herbal doctor who name is Dr abumere with his natural herbal medicine within just 14 days and his medicine is% 100 safe and it has no side effects.  A lot of people have been cured of herpes with his herbal medicine.for more info contact Dr abumere via doctorabumrer6@gmail.com or WhatsApp him on +2349021975055	-1
Old fart Joe	239
Using a pandemic to your advantage good job joe	-1
And leftists said we wouldn't have a vaccine by December whoop there it is!	-1
Go trump!	237
This is just a comedy routine ha ha	-1
The Itchy and Scratchy show....lol.	-1
Donald Trump will beat Joe Biden in 2024.	-1
TRUMP took down ISIS..............BIDEN took down mister potatoe head and doctor suess # tsk tsk	-1
